intentId,contestId,candidateId,amount,status,createdAt
GEbF6ouhQ0GY89RsEn3b,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T14:14:34.047Z
GInyQ9b8B7BuY0Kl8jpI,votes-artistes,81cTWJpXQxqb1LcEQ9Nd,100,pending,2025-12-16T09:12:17.557Z
GNO9n1eFWxOrMB5ElEXS,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-16T12:43:27.489Z
GYcK65OWhowTE8rTcb7l,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T22:01:33.300Z
GgPnqqz4HPl9RYkdfi1R,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T20:55:35.553Z
GjFqCLygo9jWFiHbLPKM,votes-artistes,oucOMPgDKDQR8GKDvFHJ,10000,pending,2025-12-19T17:03:32.119Z
GlAE1Bi3Irhd4xU1QI56,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-16T09:52:40.036Z
GppLdTvpYWFUxReSYLaP,votes-artistes,oucOMPgDKDQR8GKDvFHJ,5800,pending,2025-12-17T15:39:28.049Z
H8vA4sabv5dbq74nRXl4,votes-artistes,6jJ1pd8NA2meRhVWW12M,500,pending,2025-12-15T09:37:37.387Z
HCwKB6MDyR0QkMwtubyA,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-19T23:18:53.184Z
HR9gT3IfjzjlnJAyjqPT,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T20:06:33.510Z
HSOpV0ejUDnz7Yr5yC12,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T08:54:39.241Z
